Advertising Budget,Intercept,Coefficient
TV Ad Budget,7.032593549127695,0.04753664043301975
Radio Ad Budget,9.311638095158283,0.20249578339243965
Newspaper Ad Budget,12.35140706927816,0.05469309847227336
